,sadness_support,joy_support,fear_support,anger_support,surprise_support,disgust_support,trust_support,anticipation_support,confusion_support,denial_support,neutral,Question_Combined
0,1,0,1,0,0,0,0,0,0,0,0,"trouble sleeping? I am a 16yo male, and I have alot of trouble sleeping. I feel really tired, but every time i try to get to sleep, my mind starts racing with, literally, millions of thoughts.

You know when you watch computer code go by on a screen, and you can only pick out like, 1 or 2 numbers here and there? Thats my mind. I have millions of thoughts going on, and I can only pick out 1 or 2 at a time. I can almost feel my brain turning in circles. This goes on all day, but its worse at night because I cant control which thoughts I pick up on.

I've been suffering from depression, paranoia, and possible anxiety and schizophrenia for about two years. Im off meds right now because I had an allergic reaction to the last ones.

All I want to do is get some sleep so I dont fall asleep in class tomorrow. I have to be up for school in 4 hours, but I just cant fall asleep. what should I do? Please help!"
1,0,0,1,0,0,0,0,0,0,0,0,"Is it cancer??? A few days ago I started getting a sore throat, and it seemed to only be sore on the right side... It felt like there was a lump in my throat!! its kindof at the begining of the throat... so I stcuk a finger gently down to were I was feeling the pain ball feeling and im shocked to find that im feeling of a cyst like ball in my throat!!! Im scared to death... and im wondering if its cancer... my mom and stepdad smoke... but outside so i rarely am around it.... and im only 17.... what else could it be??"
2,0,0,1,0,0,0,0,0,0,1,0,"*doctor advice or information needed please*? I'm 16/female and I've been having sharp/mild upper heart pain recently just out of nowhere it starts for example right now.  It hurts when I stand up,bend over, or even barely move.  My biological father has heart problems and many heart surgerys done to him and he is 43 yrs. old.  I live with my mom and stepfather.  My mom just thinks its heartburn because she dont like to think that I may have heart problems like my real father.  I am healthy i'm not overweight or nothing for my age I weigh 125 and I doubt its heartburn because I never eat anything spicy enough and I don't mix foods.  So please if you have any information about this please share with me I really need to have some kind of feeling on what this might be!..thank you all."
3,0,0,0,1,0,1,0,1,0,0,0,"is yelling all the time for little things a mental disorder? i am 13 and my mommey yells at everybody; my friends, my dad, me, she even yells in sunday school. she is nice and very reliogous, in fact she is one of the teachers in sunday school. she yells for every little thing like not doing my bed, reading late at night, jumping around in the house, rolling my eyes. one time i made a bet that if she didn't yell for a day then i wouldn't watch T.V for a week. i won the bet. sometimes she yells even without looking like just yesterday my bedroom door slamed hard because of the wind and she probabily yelled louder then the slambed door. belive me i've try to do perfect for a day, she figures some way to yell at some one for something. can you help my hearing? is it my fault?"
4,0,0,1,0,0,0,0,0,0,0,0,"How can I prevnet haveing a heart attack? I'm ptetty young, 13, but I have found out that three of my great-grandparent and my grandpa have all died of a heart attack.  My (dead) grandpa and all four of his sons (not encluding my dad, but I think he does but he won't get teasted) have hypertension (high blood pressure).  This is all on my dads side...I'm not really sure about my mom.  I weigh 108 lbs and I am 5 for 2 in a half inches, so I'm not at obese or any thing.  Any help on how to prevent me dieing of a heart attack."
5,0,0,1,0,0,0,0,0,0,0,0,"Heart attack; what are my chances of dieing of a heart attack when i grow up? im 16, my father past away feb. 23rd 2006 of a amssive heart attack and my grandma died of a massive heart attack, both on my dad's side...is there any chance i will also have a bad heart when i grow up? i already have medical problems...i have a sleep apnea, a spinal cord problem and many alergies to different things, but most of those don't matter, im just very afraid of having a bad heart....could someone help me possibly?"
6,0,0,1,0,0,0,0,1,0,0,0,I have Pectus excavatum & I have been haven EXTREAMleY BAD chest pains ?? I have pectus excavatum! I have been haven chest pains for a while! but they are seeming to get longer and worse! I have had a bunch of test run for my heart and my heart is fine! I just figure its from the heart being close to the chest! But is there any way to stop the pain! Im going to the heart doctor again on the 19 !Please help me if you know anything! Im 15 and am prolly haven the surgery soon! Will that help with the pain! ?? PLEASE HELP ME!
7,0,0,1,0,0,0,0,0,0,0,0,"what do you know about dyscalculia? i think i may have dyscalculia, but all of the websites say the same thing. if anyone out there has dyscalculia would you be able to see if this sounds like it? i'm fifteen and in the tenth grade and am struggling with: basic math, especially mulitplying and dividing, not having enough time to finish tests, on mental math i usually get 1-3 of five questions right [four digit number multiplied by three digit number], i cant keep my left and right straight, nor remember things like which side the fork/knife goes on when i'm setting the table, i'm really involved in music, but i cant keep rhythm steady, and i cant read an analog clock, or read a map. i'm really good in English, though.
thanks for your help."
8,0,1,1,0,0,0,0,1,0,0,0,"What are the odds that I have cancer, based on my symptoms? On June 3rd I noticed a small bump under my skin on the left side of my neck, immediately I worried but because nothing seemed to be wrong with me. In the last week I've developed asthma like symptoms or just some awareness of not being easily able to take in a deep breath all the time. I'm not sick, haven;t been having fevers or anything but when i go to the doctor tomorrow, I don't want to takea  blood test and get back results with horribel news.

Just today I was able to workout as usual, run 5 miles and lift weights. I'm a healthy 17yr old guy and am just worried."
9,0,0,1,0,0,0,0,0,0,0,0,"Woke up with unexplained foot pain? I woke up to use the bathroom and when I got out of bed, I noticed that my heel felt like it had been hit with a hammer!  Right now I have a heating pad on it and it is finally (after 45 minutes) seeming to help.  It still hurts too much to go back to bed.  Here's some background information - I'm in my late 20's and I'm also pregnant.  I can't really take any pain relievers right now!  When I went to sleep last night my foot was feeling just fine.  Has this happened to anybody else?"
10,1,0,1,0,0,0,0,0,0,0,0,"I want to go to college ....but i have social anxiety? Hey everyone ~ I'm 20 years old. I dropped out of High school a few years ago and got my GED ,  this was all due to a bad case of social phobia. Now I really want to go to college and make something of myself, but I'm still suffering from social anxiety. When im in classrooms at first i can cope with my anxiety but once the teacher calls on me  or if i have to speak out in class such as introducing myself or much worse a presentation , I get very shakey and sweaty. This is very embarassing for me. Does anyone have any tips on  how i can overcome this fear? (i dont believe in taking prescription drugs)"
11,0,0,0,0,0,0,0,0,1,0,0,"Can I conceive with  POLYCYSTIC OVARY SYDROME (PCOS) ? I AM A 24 YR OLD MARRIED FEMALE WHO WAS DIAGNOSED WITH PCOS ALMOST 2 YEARS AGO AFTER GOING TO MY OB/GYN FOR IRREGULAR PERIODS. I HAD A LAPARASCOPIC CYSTOSCOPY AND A D&C. THE CYSTS ON MY OVARIES WERE DRAINED AND BIOPSIED WITH NEGATIVE RESULTS FOR ANY PRE-CANCEROUS CELLS. HOWEVER, I WAS DEFINITIVELY DIAGNOSED WITH PCOS. MY PERIODS REGULATED AFTER THE SURGERY BUT WE HAVE NOT BEEN ABLE TO CONCEIVE. MY DOCTOR IS NOT VERY STRAIGHTFORWARD WITH ME REGARDING MY CHANCES FOR CONCEPTION AND THERE IS NOT A WHOLE LOT OF INFO THAT I CAN SEEM TO FIND ONLINE.I AM NOT CURRENTLY ON ANY MEDS OR BIRTH CONTROL. CAN ANYONE HELP?"
12,0,0,1,0,0,0,0,0,0,0,0,"Physically ill, curious if anyone has any idea of what could be wrong? I am afraid to go to the doctor and I am hoping that I can self-diagnose and treat without having to go. I haven't been in a long time and I have had panic attacks and fear-induced shock from visits before, it is really traumatic for me. I am hoping that someone will know a little from having similar experiences.

My Symptoms are: Chest pain, Mussel Spasms(in the chest), soreness in the lungs when drawing a full breath, and difficulty breathing for several minutes after sexual climax. I have also had joint stiffness and pain for many years. Its not old age either, I just turned twenty one in February. I smoked marijuana(first and only time) at a party back in January, and that was around when these problems began.

Thank you in Advance."
13,1,0,1,0,0,0,0,0,0,1,0,"what do i have? iam a 23 year old male and i have been living with a heath condition that i think is serious. my whole life ive felt fine and then one day i felt terrible. and i have felt the same way all day every day for the past 9 months now. i have a list of symptoms and no doctor can seem to even help me a little. my symptoms are dissines,headache,vetigo,ringing in ears,vision problems,fatigue,nausia,altered alertness,confusion,paleness,feeling like im going to pass out,my whole body feeling wierd.sometimes i can barely make though a work day. and im sure thats not all. this has changed my whole life. ive been to the hospital as well as several doctors. i dont have diabetes, ive had a catscan,blood tests, and every test i do comes up fine. if theres anyone thats had this before or a suggestion to what they think it could be it would greatly be appriciated. thank you"
14,0,0,1,0,0,0,0,0,1,0,0,a period question? ok my period is still heavy and i have been to my doctor they ran the tests and i have no malignancy or hyperplasia which is awesome so why are my periods still heavy they were never before and they last a long time since they ruled out all of the bad stuff isnt it safe to say that maybe pregnancy has something to do with it and they are just getting back to normal maybe has anyone had this before i am 23 years old and had a baby 10 months ago
15,0,0,0,0,0,0,0,1,1,1,0,"What should I ask my doctor? I'm two months late for my period but I took a pregnancy test today and it came back negative. I'm only 21 so I know it's not menopause. I'm not under any stress really and I wasn't expecting to get pregnant so I don't think it's a mental thing. Lately I've been dizzy, had nausea, my nipples have been killing me. I know that these could be symptoms of PMS too but so far no period. I DO HAVE AN APPOINTMENT with my ob/gyn so please don't yell at me for not going to the doctor. I was just wondering if anyone has had a similar experience or knows (aside from pregnancy) what I should as my dr. about. PS. I'm NOT on any meds, my thyroid is fine (had it checked a couple months back) No eating disorders, I'm average weight, and haven't been on birth control in 3 years. Normally my periods are right on time. What gives?"
16,0,0,1,0,0,0,0,0,0,0,0,"herpes zoster? i am 18 y.o.....i have got a red rash on my skin, d doc said it is herpes zoster.............he told me thrz nothn 2 worry about. but i still want 2 knw wat exactly is it? is it fatal? can it be 100% cured.....and how did i get it??? its not a STD rite?? i have never had any sexual contact wid ne1..........
..............please tell me...........all d help is turely appreciated........im really worried............thanx"
17,0,0,1,0,0,0,0,0,1,0,0,"Virchow Robin??? I had a stroke a little over a year ago, I was 32.  Noone knows what caused it.  Ive had MRI's, and CAT's done, blood tests and everything.  But, the last MRI I had done said that it hasnt changed much since the last MRI, which is good, I guess.  Its written in ""chinese"", and I cant understand it.  The report said ""There are slightly prominent Virchow Robin spaces"".  And it also said ""Within the left external capsule, there is a 1.5-cm area of increased 12 signal intensity, this demonstrates decreased T1 signal intensity and no evidence of enhancement.""  

Does anyone know what the heck that means???  I really dont want to freak out and set up an appointment with another neurologist, but, Im thinking I might have to."
18,0,0,0,0,0,0,0,0,0,1,0,"Help with finding new pain meds? I am currently on Flexeril (muscle relaxer) and Tramadol (mild opiate pain reliever) for chronic pain associated with Osteoporosis and Chrono Malacia in my knees. I am only 30 years old. I don't have alot of experience with drugs, but I know that these aren't working. What can I ask my doctor about that he may give me that would be stronger than the above mentioned ones? 
Because of the long term use, I have built up quite a tolerance, but, I don't want something as strong as morphine."
